,,,V-7.2.5 in Prod ( 14 Nov ),,,V-7.2.6 in UAT,,,,,,
Type,Old Video Link,New Video Link,Old App Click Timestamp (sec),Old App Opening Timestamp (sec),Time Taken ( sec ),New App Click TImestamp (sec),New App Opening TImestamp (sec),Time Taken ( sec ),Comparision improvement %,,,
Share,ShareLink.mp4,ShareLink.mp4,1,9,8,3,7,4,50,,,
AutoAuth,AutoAuth.mp4,AutoAuth.mp4,2,11,9,4,7,3,66.66666667,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
